Run_id, Final 10.0% episodes extrinsic score
run_129, 39.5
run_105, 39.5
run_31, 38.0
run_7, 38.0
run_182, 33.75
run_158, 33.75
run_100, 33.25
run_143, 31.5
run_122, 31.0
run_98, 31.0
run_140, 29.2
run_116, 29.2
run_133, 28.25
run_125, 28.25
run_109, 28.25
run_101, 28.25
run_87, 27.25
run_63, 27.25
run_127, 27.0
run_103, 27.0
run_191, 26.75
run_167, 26.75
run_47, 25.75
run_23, 25.75
run_128, 25.666666666666668
run_104, 25.666666666666668
run_175, 25.25
run_151, 25.25
run_84, 24.8
run_60, 24.8
run_131, 24.25
run_107, 24.25
run_24, 24.25
run_0, 24.25
run_39, 24.2
run_15, 24.2
run_75, 24.0
run_51, 24.0
run_54, 23.8
run_141, 23.25
run_117, 23.25
run_121, 23.0
run_97, 23.0
run_81, 22.8
run_57, 22.8
run_95, 22.6
run_71, 22.6
run_176, 22.25
run_152, 22.25
run_142, 22.25
run_118, 22.25
run_172, 21.75
run_171, 21.75
run_148, 21.75
run_147, 21.75
run_40, 21.75
run_16, 21.75
run_124, 21.6
run_41, 21.6
run_17, 21.6
run_177, 21.5
run_153, 21.5
run_180, 20.25
run_156, 20.25
run_135, 20.25
run_111, 20.25
run_169, 20.2
run_145, 20.2
run_92, 20.0
run_28, 20.0
run_4, 20.0
run_86, 19.2
run_43, 19.2
run_19, 19.2
run_119, 19.0
run_85, 19.0
run_77, 19.0
run_61, 19.0
run_53, 19.0
run_174, 18.75
run_150, 18.75
run_137, 18.5
run_113, 18.5
run_83, 18.5
run_59, 18.5
run_186, 18.25
run_162, 18.25
run_123, 18.0
run_99, 18.0
run_29, 17.8
run_5, 17.8
run_188, 17.75
run_164, 17.75
run_185, 17.6
run_161, 17.6
run_82, 17.0
run_58, 17.0
run_36, 16.8
run_12, 16.8
run_79, 16.75
run_55, 16.75
run_35, 16.4
run_27, 16.4
run_11, 16.4
run_3, 16.4
run_139, 16.25
run_115, 16.25
run_93, 16.2
run_69, 16.2
run_189, 15.75
run_165, 15.75
run_76, 15.285714285714286
run_52, 15.285714285714286
run_190, 15.25
run_181, 15.25
run_173, 15.25
run_166, 15.25
run_157, 15.25
run_149, 15.25
run_73, 15.25
run_49, 15.25
run_94, 15.2
run_78, 15.2
run_70, 15.2
run_134, 14.25
run_110, 14.25
run_179, 14.2
run_155, 14.2
run_91, 14.2
run_67, 14.2
run_33, 14.2
run_25, 14.2
run_9, 14.2
run_1, 14.2
run_102, 14.0
run_68, 14.0
run_45, 14.0
run_37, 14.0
run_21, 14.0
run_13, 14.0
run_30, 13.833333333333334
run_6, 13.833333333333334
run_132, 13.75
run_108, 13.75
run_126, 13.4
run_32, 13.4
run_8, 13.4
run_183, 13.25
run_159, 13.25
run_46, 13.0
run_38, 13.0
run_22, 13.0
run_14, 13.0
run_44, 12.833333333333334
run_34, 12.833333333333334
run_20, 12.833333333333334
run_10, 12.833333333333334
run_187, 12.5
run_163, 12.5
run_184, 12.0
run_160, 12.0
run_62, 11.4
run_120, 11.0
run_96, 11.0
run_89, 11.0
run_65, 11.0
run_80, 10.4
run_56, 10.4
run_168, 9.875
run_144, 9.875
run_138, 9.833333333333334
run_114, 9.833333333333334
run_130, 9.8
run_106, 9.8
run_90, 9.75
run_66, 9.75
run_42, 9.5
run_18, 9.5
run_26, 9.428571428571429
run_2, 9.428571428571429
run_72, 9.375
run_48, 9.375
run_74, 9.333333333333334
run_50, 9.333333333333334
run_178, 9.25
run_170, 9.25
run_154, 9.25
run_146, 9.25
run_88, 9.222222222222221
run_64, 9.222222222222221
run_136, 9.142857142857142
run_112, 9.142857142857142
