Run_id, Final 10.0% episodes extrinsic score
run_4, -152.82625417627062
run_0, -152.82625417627062
run_10, -155.80040019292508
run_18, -157.2895459276685
run_5, -178.6044827627528
run_1, -178.6044827627528
run_23, -179.52614050398665
run_15, -191.0446518548296
run_8, -211.95093516026006
run_9, -269.52666197645203
run_22, -295.9744724761899
run_11, -307.05564528276926
run_6, -307.4062358464758
run_2, -307.4062358464758
run_14, -321.132284293196
run_13, -371.61145807888335
run_12, -378.8654509717611
run_19, -391.0080063720838
run_7, -408.79271893705703
run_3, -408.79271893705703
run_21, -482.0509595999287
run_17, -514.9102281283645
run_20, -597.6976084937088
run_16, -597.6976084937088
