Run_id, Final 10.0% episodes extrinsic score
run_182, -131.97688026076307
run_178, -131.97688026076307
run_191, -133.93051563900198
run_187, -133.93051563900198
run_174, -179.52614050398665
run_170, -179.52614050398665
run_173, -213.91831946355106
run_169, -213.91831946355106
run_189, -226.0182419045719
run_185, -226.0182419045719
run_175, -254.35662179868294
run_171, -254.35662179868294
run_188, -258.3432740632988
run_184, -258.3432740632988
run_156, -276.85917100696815
run_152, -276.85917100696815
run_159, -280.6680859300721
run_155, -280.6680859300721
run_172, -295.9744724761899
run_168, -295.9744724761899
run_190, -337.35340680354585
run_186, -337.35340680354585
run_158, -343.3328570724769
run_154, -343.3328570724769
run_183, -429.66154218572024
run_179, -429.66154218572024
run_157, -460.9522803886071
run_153, -460.9522803886071
run_150, -489.80769497517684
run_164, -513.3304122447748
run_160, -513.3304122447748
run_181, -531.9598479843934
run_177, -531.9598479843934
run_165, -534.629953885073
run_161, -534.629953885073
run_180, -548.2890399373009
run_176, -548.2890399373009
run_151, -558.9089414317631
run_167, -590.8882941028356
run_163, -590.8882941028356
run_166, -607.6607309354162
run_162, -607.6607309354162
